,CLAVE,SITIO,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mgL,CALIDAD_DBO,DQO_mgL,CALIDAD_DQO,SST_mgL,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,SEMAFORO,CONTAMINANTES,,SEMAFOROO
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Verde
